Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: 0x1a21dd74e3f |LRU Evicted: 0x1a21dd74e3f |Policy02 Evicted: 0x1a21dd74e3f | Belady02 Evicted: 0x1a21dd74e3f |Policy03 Evicted: 0x1a21dd74e3f | Belady03 Evicted: 0x1a21dd74e3f |Policy04 Evicted: 0x1a21dd74e3f | Belady04 Evicted: 0x1a21dd74e3f
Workload: astar |PC: 0x405828 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: 0x334a3959471 |LRU Evicted: 0x334a3959471 |Policy02 Evicted: 0x334a3959471 | Belady02 Evicted: 0x334a3959471 |Policy03 Evicted: 0x334a3959471 | Belady03 Evicted: 0x334a3959471 |Policy04 Evicted: 0x334a3959471 | Belady04 Evicted: 0x334a3959471
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405828 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: 0xb0b2ecffaf |LRU Evicted: 0xb0b2ecffaf |Policy02 Evicted: 0xb0b2ecffaf | Belady02 Evicted: 0xb0b2ecffaf |Policy03 Evicted: 0xb0b2ecffaf | Belady03 Evicted: 0xb0b2ecffaf |Policy04 Evicted: 0xb0b2ecffaf | Belady04 Evicted: 0xb0b2ecffaf
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: 0x286af60198e |LRU Evicted: 0x286af60198e |Policy02 Evicted: 0x286af60198e | Belady02 Evicted: 0x286af60198e |Policy03 Evicted: 0x286af60198e | Belady03 Evicted: 0x286af60198e |Policy04 Evicted: 0x286af60198e | Belady04 Evicted: 0x286af60198e
Workload: astar |PC: 0x405828 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
Workload: astar |PC: 0x405832 |Belady Evicted: None |LRU Evicted: None |Policy02 Evicted: None | Belady02 Evicted: None |Policy03 Evicted: None | Belady03 Evicted: None |Policy04 Evicted: None | Belady04 Evicted: None
